"id","credit","duration","total","scans","voidedScans","attemptsWoScan","modifiedQuantities","fraud"
1,"High",273,82.09,5,11,9,0,0
2,"High",1481,57.8,21,10,4,1,0
3,"High",278,50.15,10,1,1,5,0
4,"High",576,85.35,16,10,9,4,0
5,"Low",356,58.81,10,4,3,2,0
6,"Low",331,69.38,22,3,7,0,0
7,"High",1708,37.75,22,2,5,0,0
8,"High",271,67.92,24,4,4,2,0
9,"Low",1777,90.74,1,6,4,3,0
10,"High",353,70.45,9,4,6,1,0
11,"Low",649,35.07,12,1,2,4,0
12,"High",365,66.65,23,2,10,3,0
13,"Low",318,3.44,1,5,3,1,0
14,"High",464,3.3,5,4,4,0,0
15,"High",122,0.76,24,1,8,0,0
16,"High",1756,55.36,8,3,4,1,0
17,"Low",1338,4.4,24,11,5,3,1
18,"High",1352,89.18,26,4,8,0,1
19,"Low",1092,91.23,1,9,4,4,0
20,"Low",1432,44.21,25,0,4,3,0
21,"Low",1113,52.91,12,2,10,3,0
22,"High",1051,43.37,10,8,10,4,0
23,"Low",753,18.7,19,5,10,3,0
24,"Low",1551,16.71,3,11,8,5,0
25,"High",1252,48.96,20,8,4,2,0
26,"High",1139,14.43,17,1,6,0,0
27,"High",891,83.31,30,8,1,4,0
28,"Low",830,60.52,1,9,8,2,0
29,"Low",554,30.21,30,0,8,3,1
30,"High",81,66.53,20,2,5,1,0
31,"Low",903,14.54,16,6,1,4,0
32,"High",581,50.92,17,8,5,5,0
33,"Low",1683,33.73,7,5,9,2,0
34,"Low",1305,87.79,18,8,8,0,0
35,"High",1310,7.99,25,2,2,5,0
36,"Low",799,93.85,24,8,4,5,0
37,"Low",523,20.72,8,0,9,5,0
38,"High",1494,53.72,27,11,1,4,1
39,"Low",1659,25.05,2,7,3,0,0
40,"High",113,16.46,14,3,3,3,0
41,"High",729,87.77,9,3,9,1,0
42,"Low",1102,10.03,12,1,3,0,0
43,"Low",55,89.01,20,2,8,1,0
44,"Low",442,78.92,25,3,9,0,1
45,"High",1106,85.75,11,7,7,1,0
46,"Low",1243,51.93,27,9,9,3,1
47,"High",90,72.96,10,3,5,0,0
48,"High",1112,46.58,24,0,8,1,0
49,"Low",229,66.34,15,7,2,0,0
50,"High",1761,85.59,25,4,6,1,0
51,"Low",376,17.67,6,0,3,2,0
52,"High",1631,97.02,16,9,2,0,0
53,"Low",1596,60.67,20,2,1,2,0
54,"Low",1531,21.72,1,4,4,5,0
55,"High",447,97.13,1,7,4,1,0
56,"High",1080,99.39,6,10,0,2,0
57,"High",949,57.24,16,10,5,3,0
58,"High",232,38.9,25,5,7,0,0
59,"High",1710,74.52,26,11,4,4,1
60,"Low",959,9.71,7,10,6,1,0
61,"Low",824,3.47,22,4,6,3,0
62,"High",1532,22.66,22,8,5,5,0
63,"Low",1082,38.82,23,5,3,1,0
64,"High",1590,90.12,30,1,9,5,1
65,"High",121,11.63,10,5,8,1,0
66,"High",601,66.63,28,5,8,5,0
67,"Low",552,90.25,27,6,6,2,1
68,"High",1633,1.93,2,1,5,3,0
69,"Low",987,84.24,16,4,0,1,0
70,"High",443,16.25,11,7,3,3,0
71,"Low",696,87.05,3,6,5,5,0
72,"Low",362,62.11,12,3,2,0,0
73,"Low",227,16.75,22,3,2,2,0
74,"High",80,14.27,3,0,0,0,0
75,"Low",426,81.15,27,3,7,0,1
76,"High",879,0.06,15,9,1,3,0
77,"Low",1259,13.95,4,10,2,5,0
78,"High",1491,43.63,9,0,4,3,0
79,"Low",1240,14.62,26,3,3,3,1
80,"High",49,40.24,17,0,1,3,0
81,"High",528,92.24,21,1,7,2,0
82,"High",1706,45.02,9,7,5,2,0
83,"Low",1588,24.12,12,4,9,2,0
84,"Low",1670,7.23,24,7,7,1,1
85,"High",1309,73.5,2,8,0,1,0
86,"High",325,5.24,27,11,4,4,0
87,"Low",635,76.12,4,7,3,0,0
88,"High",1087,46.91,4,5,3,3,0
89,"High",1441,53.66,30,10,1,1,1
90,"High",1688,98.17,20,8,2,0,0
91,"Low",1657,33.1,13,8,8,0,0
92,"High",107,95.47,14,7,10,2,0
93,"Low",103,10.87,5,11,7,3,0
94,"High",1140,58.32,26,9,5,2,0
95,"High",155,50.73,2,11,7,0,0
96,"High",1404,57.01,24,4,5,4,0
97,"Low",1298,63.39,23,7,6,0,1
98,"High",1228,50.33,15,5,10,1,0
99,"Low",334,10.65,28,6,10,4,1
100,"Low",1715,14.09,27,5,10,3,1
101,"Low",1387,73.69,12,3,7,4,0
102,"High",1072,92.09,14,2,7,3,0
103,"High",1453,86.94,20,5,6,5,0
104,"Low",110,64.22,24,9,2,5,0
105,"High",514,33.29,5,6,8,2,0
106,"Low",1713,60.78,11,3,10,0,0
107,"Low",12,85.39,26,1,0,1,0
108,"High",714,66.42,28,0,2,0,0
109,"High",1611,48.85,20,3,1,0,0
110,"High",199,42.1,17,4,0,4,0
111,"High",612,72.26,27,11,1,5,0
112,"Low",1556,9.35,29,6,7,4,1
113,"Low",1021,52.86,16,5,2,3,0
114,"High",752,48.44,26,9,9,5,1
115,"High",1441,40.48,12,2,4,1,0
116,"Low",1433,88.2,24,0,5,3,1
117,"Low",1113,47.42,9,3,9,2,0
118,"Low",214,15.14,7,0,2,2,0
119,"High",1315,7.38,4,3,9,2,0
120,"Low",877,36.38,17,4,0,1,0
121,"Low",984,10.36,7,2,2,4,0
122,"High",1605,15.15,6,0,2,3,0
123,"High",1144,1.23,22,11,3,1,0
124,"Low",1589,99.1,15,1,1,4,0
125,"High",216,24.83,27,10,5,2,0
126,"High",863,19.66,19,7,10,3,0
127,"High",1036,49.52,20,3,5,4,0
128,"High",886,97.66,22,10,3,3,0
129,"Low",1291,52.21,12,10,4,1,0
130,"Low",349,93.71,9,5,1,3,0
131,"High",1225,33.44,11,1,8,2,0
132,"High",1347,34.92,3,4,9,3,0
133,"Low",1170,62.25,5,10,4,4,0
134,"Low",1009,81.79,3,1,8,1,0
135,"Low",605,81.32,15,1,9,4,0
136,"High",337,44.15,11,7,3,4,0
137,"High",458,31.68,5,0,10,1,0
138,"Low",18,43.84,18,10,1,5,0
139,"Low",385,43.88,27,10,8,2,1
140,"Low",794,85.21,22,1,9,2,0
141,"High",1470,75.14,30,6,3,1,1
142,"Low",1172,85.64,24,0,3,5,0
143,"High",629,54.15,9,5,3,1,0
144,"Low",1329,49.6,19,4,7,1,0
145,"High",81,93.42,12,10,9,3,0
146,"High",1213,2.22,2,10,2,1,0
147,"High",1508,0.07,22,7,3,4,0
148,"High",1395,20.27,10,10,7,5,0
149,"High",1260,8.12,9,4,9,1,0
150,"Low",510,97.85,16,2,4,0,0
151,"Low",139,93.15,18,5,6,1,0
